JobTitle,Company,Location,Summary,Salary,JobUrl
Software Engineer(CS)(Yearly-renewing Contract),Clustertech Limited,Hong Kong,Candidate with higher academic qualification and/or more related experience may be considered as Senior Software Engineer ;,nan,https://hk.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0CSte6oGGtDxh-7fhYpl3JUF32xG07cYNaxIIfxptA_Wgi2_nEAFSrMbNj1WHu8bczSWhPAvMr2VccHRCUmwnDcsn9oDKBQXAt6pESGcJmYB8udcfgSOj2NFtOjjwVUG5LNhptfLbSTBV0dU967zXsbr2vDqHBiWfk49BQDBDVjZWVNtzvUVRur6KSqqp4uAn7hbBkxxDf01ztmQ-P2Zy51pS-Elzaxytlluwd74zai-ayk_3ctkjUY8NA4FPGDYiN6qqnTaHOnuu97gelhF0czWF8waz25ghMbtKNsu7gpitPp2RahaHjhI3GfSpz9GVyU2ej-oOUpjGKJ4g-WLUKcuI8Mlu-k6T2G1_3z2aRpQ2v5yM5zocAAtjqb01bxwi8aaL-GFI0Auvfo0_w2H9JD_SnYMcCaEDjC9Ia94toEhUfzheoZlr4tUDHU6ks7hAEyDNEB_ymMc2gvzjhd6HvR0Avhvv3JOdDAtWpxIWVqF9E2zV9r9jHxXvuVajkOlFJXx3QQPH8BI8hALowdn4-JOGaPjAOxrMdAbirp_gtqZHtsJHP8VhtvyZUnsytngcjJxgHaZjrkuuLDtbIS4bfVublctKOXb5xmrKqnDVRS7qXjySXWjbMTeNybSNYT2OfpzFx3cYHng7DO88blAWysWutu9u6QzMg=&p=9&fvj=0&vjs=3
Service Desk Specialist,Automated Systems (HK) Ltd,Hong Kong,"All personal data supplied will be destroyed within six months after the selection process.
Is a Hong Kong listed company providing total computer solutions and…",nan,https://hk.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0CSte6oGGtDxh-7fhYpl3JUF32xG07cYNaxIIfxptA_Wgi2_nEAFSrMbNj1WHu8bcy3ZYS1iDiiL-u1465oafrWmcmxqcC_rvuQwgm5dlIXtdR7URVm-WPrtUOtUK8NEvg3Vxcu3Zpq3z49vD-iFXD13B1Ebco0Thk_ThiXYT04KNZMPXRUGT3-9gTTY5x5wV-0fflTGXTr9c7sTSCALsSicXNXrgrHrBEggDUnmCpnjRogDuTkx7A4Inz8UZVvVsgWz37u-rmSo8Xne8-qpWg0XNv24OLCNcOQutHF1p3qfF0SlDvUCopI2d9yOMJGIG590czFVAZsSaHFN8UH-rpnIDn9SAIKqfafdvAJ2FbLDKVTFGJI5bgpxfL3jIHulBtDj0DJ3FsFFGgdxz8_EtODwEV5GLkFq68Sz8e4vNrcN05t_O5tAPcWSJG5r60UZcw7v0OThGIa5ad19sOonDzq-h1V48_egbxF__PmYQOzVS_odpMgdHCp8xPiw5hucHkC8inh665gb0XgLjyCmykmO_mUU99mtVz7D7Ofuw87bY6ys46UgF9pbZpJJelZEByAJ6xDA0jkC07LE27qsJ4UohJaRh_K7tUKRE-EC5sXVo1dm3walx18ZoOGPbUvdesHQz6WiyjwLgq3EHixSs6g4YjhmHuAaow=&p=10&fvj=0&vjs=3
Secretary,Arup,Hong Kong,"Personal data collected will be used for recruitment purpose only.
Arup is the creative force at the heart of many of the world’s most prominent projects in the…",nan,https://hk.indeed.com/rc/clk?jk=560b5f6e34d55dbb&fccid=38c0d5e4f2a99768&vjs=3
Product Support Engineer - Remote,Telnyx,Hong Kong,"As a Product Support Engineer, you are a motivated and enthusiastic individual with a passion for technology.
You collaborate with our customers, business teams…",nan,https://hk.indeed.com/rc/clk?jk=b50afa01e0892d11&fccid=a337b7ba2ac8ec4f&vjs=3
Operations Engineering Advisor,Celestica,Hong Kong,"Provides high quality, reliable performance data to suppliers and the internal management team.
Gathers, analyzes, sorts and distributes data to understand and…",nan,https://hk.indeed.com/rc/clk?jk=26d046e3d52c0777&fccid=e7e593a18b26fee3&vjs=3
System Engineer,China Telecom Global Limited,"Tsuen Wan, New Territories","Personal data collected would be used for recruitment purpose only.
Responsible for providing technical support, incident handling and service improvement…",nan,https://hk.indeed.com/company/China-Telecom-Global-Limited/jobs/System-Engineer-8cb62b41b8f44148?fccid=422b032f841374c1&vjs=3
Infrastructure Specialist (Insurance),Classy Wheeler,"Kowloon Bay, Kowloon","Experience in Network Management / Data Center / Server Management.
US-based IT service vendor / Client:
Understanding of networking hardware from multiple…",nan,https://hk.indeed.com/rc/clk?jk=fd60cc54d8ef256a&fccid=7e57982cb894da40&vjs=3
R&D Engineer / Senior Engineer,Fong’s National Engineering Co. Ltd.,Hong Kong,"Candidate with less experience will be considered as Assistant Engineer.
Personal data collected by us relating to applications for the above job will be kept…",nan,https://hk.indeed.com/rc/clk?jk=9c8255e2c9e756da&fccid=5fab178fa5a7effa&vjs=3
QA / Test Engineer,Plover Bay Technologies,"Lai Chi Kok, Kowloon","Personal data collected will be treated in the strictest confidence and will only be used for employment-related purpose.
Lai Chi Kok, Hong Kong.",nan,https://hk.indeed.com/rc/clk?jk=006234e87e484a46&fccid=13f964587f3a7039&vjs=3
"Data Analyst, Fintech",Hays,Hong Kong,"Good exposure to big data platform.
You will have at least 3 years of experience in data management or data analyst, preferable from banking or financial…",nan,https://hk.indeed.com/rc/clk?jk=788174e14501b3a3&fccid=31670bef3ae6497b&vjs=3
Senior Engineer / Engineer / Assistant Engineer,Sun Hung Kai Properties,Hong Kong,"Candidate with less experience may be considered as Engineer or Assistant Engineer.
Personal data collected will be used for recruitment purposes only.",nan,https://hk.indeed.com/rc/clk?jk=13e40a20994fdd39&fccid=d0c0bf161993feaa&vjs=3
AWS Data Archietect,SIRIUS Partners Ltd,Hong Kong,Our client a leading financial institution is currently seeking a seasoned AWS Data architect to oversee firm wide data management framework and initiatives.,nan,https://hk.indeed.com/rc/clk?jk=b1441d89ccce9e80&fccid=5d898ab80c3f3e38&vjs=3
Big-Data/Software Developer,Alvanon HK limited,Hong Kong,"We have experts within the domain in our team, including world class engineers and data scientists;
As the leading global apparel business and product…","$20,000 a month",https://hk.indeed.com/company/Alvanon-HK-LTD/jobs/Big-Data-Software-Developer-1c1f2c4acde2510c?fccid=2443a61740b32320&vjs=3
Data Engineer - Digital Solutions - SZ/HK,PwC,Hong Kong,"Provide support resolving conversion and upgrade data issues.
Installs, maintains, develops and implements policies and procedures for ensuring the security,…",nan,https://hk.indeed.com/rc/clk?jk=bbc315698867b140&fccid=5e964c4afc56b180&vjs=3
"Senior Staff Engineer, Platform - Mox",Standard Chartered,Hong Kong,"Excellent knowledge of data sharding, schema and query performance optimisation, data structure tradeoffs, disaster recovery patterns and metrics.",nan,https://hk.indeed.com/rc/clk?jk=5a48449e1e15c13a&fccid=5249cd8e17163cb5&vjs=3
Chief Technology Officer [Hong Kong or Singapore],Network Guard,Hong Kong,"Our processes are efficient, we make decisions based on data, our culture is meritocratic, and we offer ample opportunity for career growth.",nan,https://hk.indeed.com/rc/clk?jk=c96b78ebe3d588b0&fccid=77619d50cba0c963&vjs=3
Principal Engineer,Black & Veatch,"Kwun Tong, Kowloon","Oversees collection, assimilation, and management of data for engineering work.
Functions as a technical specialist or supervisory role.",nan,https://hk.indeed.com/rc/clk?jk=641cf232b042f038&fccid=3c6c62c1f9964388&vjs=3
IT System Engineer,Great Harvest Group,"San Po Kong, Kowloon","Provide technical and user supports (on Windows platform) for network, hardware (PC/Server), software, etc. at head office and construction site offices.",nan,https://hk.indeed.com/rc/clk?jk=f10441899c640544&fccid=a121e917b08f5ac6&vjs=3
Research Engineer,Citytone Technology Limited,"Hong Kong Science Park, New Territories","Experience in A.I., big data research and development.
Computer Science/Engineering background (Degree or above).
Experience in IOT application development.",nan,https://hk.indeed.com/company/Citytone-Technology-Limited/jobs/Research-Engineer-6dd70a143c42507c?fccid=fe7d67122420410a&vjs=3
BIM Coordinator (Ref: 21520T1),Meinhardt (Hong Kong) Limited,Hong Kong,Data collected will be used for recruitment purpose only and will be destroyed within six months from date of application.,nan,https://hk.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0CSte6oGGtDxh-7fhYpl3JUF32xG07cYNaxIIfxptA_Wgi2_nEAFSrMbNj1WHu8bcy3ZYS1iDiiL9xce3G7PIvlomg7Y1z6BMlS8kHNWq7sySJmagVcD0zyi34J4n01EyB6cIAdJ6ingxoEfxev3d-pVTRbVROjzA74TMMuU2Q-OYe81_GIR7lvCYk-OsQAlLoB_Cbzgqf3i-xaW8Lj0tGL6JzC8lHTtLrzKeek2KvM4583knc7Fnz6mP6-w1L9OCX7X_UVBMryFuCBLzRRbm9Q-FiVeLCG5dGo_rtENFdIiUPGfnJBg6IHY32s4TEeqTsChx5tO9RNyyC6oJ43q2ZKD8x3GOK-HW-652es175-nxjzOtyI3FxaMGz5k7A5ENoWrCdSgcIiNc296rT1_oDi_PJMLU3JzqKNXCs0Bi6v36OCgSN9EaBsOhtYiTvEgAjSpzVGSuPXUM2NCHZrY963T75oECRnfdPlNl7UWDmsdHUv6QxzmEGhRDz-F3uufq_8pw8vKVgbdKAkJ5dmRxpUUU2IKS6bowsoh17hrSqCs9v5RoBHIIQjYNb8eDZiPJXGrkA2gFA_VryCbwP3wKGMNxF-rC6uzUvBeRnj892GxJxCgpyabvOZEn1mJI_pSL4GDbbI3fPXsKMeiu5cKnlrJ197aYWi538=&p=13&fvj=0&vjs=3
Senior Engineer / Engineer – Advanced Pavement Materials,Nano and Advanced Materials Institute Limited 納米及先...,New Territories,"Under the Personal Data (Privacy) Ordinance, you may request access to, and/or correction of your personal data in relation to your job application.",nan,https://hk.indeed.com/rc/clk?jk=f0ee8a8255b75dac&fccid=bf489ffb1f1266dd&vjs=3
Research Engineer - Data Analysis(Cloud Computing),Dazzle Limited,"Kwun Tong, Kowloon","Analyze preexisting data models and algorithms;
Familiarity with tools, libraries and algorithms for data analysis.",nan,https://hk.indeed.com/company/Dazzle-Limited/jobs/Research-Engineer-c0f7b97970ab6dca?fccid=5f2243df963fb494&vjs=3
Senior Officer - Administration,Arup,Hong Kong,"Prepare resources report and data analysis for management purpose.
Arup is the creative force at the heart of many of the world’s most prominent projects in the…",nan,https://hk.indeed.com/rc/clk?jk=76e7d40719e2f3f5&fccid=38c0d5e4f2a99768&vjs=3
Backend Engineer - IC,Classy Wheeler,"Ngau Tau Kok, Kowloon","Backend engineer for Hong Kong-based advertising technology team to work as part of an agile team alongside other software, data and DevOps engineers.",nan,https://hk.indeed.com/rc/clk?jk=f05e4549f2fc2de1&fccid=7e57982cb894da40&vjs=3
Engineer,REC Engineering Company Limited,"Kwai Chung, New Territories","Please apply, in strict confidence, with full resume stating the reference code and your current and expected salary and e-mail to hr@rec-eng.com (Personal data…",nan,https://hk.indeed.com/rc/clk?jk=f39d3d601efed4e2&fccid=a2ce1d0aceafcb24&vjs=3
Software Engineer (Firmware Development),VTech Telecommunications Ltd.,Hong Kong,"Knowledge in data structure, algorithm and computational complexity are advantageous.
Candidate with more experience will be considered as Senior Software…",nan,https://hk.indeed.com/rc/clk?jk=41930855e14c7c66&fccid=02c34105adf0726a&vjs=3
Support Engineer,Pizza Hut,"Hung Hom, Kowloon","Solid experience in helpdesk support, virus and spam control, PC disaster recovery and data migration.
Jardine Restaurant Group (JRG) operates over 810 outlets…",nan,https://hk.indeed.com/rc/clk?jk=9b32fb1aa4c9be79&fccid=88df21fa0b5d07c4&vjs=3
Market Data Support Engineer,Macgregor Research,"Wan Chai, Hong Kong Island","Market Data services, IPC dealerboard and SpeakerBus.
IT services covering the trading floor and market data operation.",nan,https://hk.indeed.com/rc/clk?jk=200c806e46a5fbc3&fccid=488ccc8818a78646&vjs=3
IT Sites Ops Engineer,Harmonic Technologies (HK) Limited,Hong Kong,"Personal data collected will be treated in strict confidence and for recruitment purpose only.
As the IT Site Ops Engineer, youll be a part of the IT team with…",nan,https://hk.indeed.com/rc/clk?jk=f33f69c3bfb8af4c&fccid=4ba69d95879fd3e1&vjs=3
Data Centre Operator/ Computer Operator / System Engineer (20 - 40k),Venturenix Limited,Hong Kong,"Data Centre Operator/ Computer Operator Responsibilities Performing day to day computer operations that include data processing, backup processing, trouble…",nan,https://hk.indeed.com/rc/clk?jk=9f8ca6229fff9309&fccid=994dad0d53767a7b&vjs=3
Service Engineer / Assistant Engineer,Shun Hing Engineering Contracting Co Ltd,Hong Kong,"Experience may be considered as Assistant Engineer.
Data collected will be used for recruitment purpose only.
Degree/ Higher Diploma holder in Building Services…",nan,https://hk.indeed.com/rc/clk?jk=cd9435a88e1995e1&fccid=70f4d551a95be9ea&vjs=3
Full Stack Developer - Ruby / Go,oneCHARGE Solutions Limited,Remote,"Analysis and create meaningful data visualization UI.
OneCHARGE is an electric vehicle charging solution provider in Hong Kong, we use new technologies to solve…","$22,000 a month",https://hk.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0CpMZiPsMOHa-tlkCWQ8edeBiHQLdfvUwDvdpJecbrxj_-qRgonW26juPZZKLyNnyCjLmUKtLDz5FoqZJNMCjWozM-1WWhcSgRsWWuA_z5pyCZKxobC6cii71XErK2g8ZdXYFsx7pIh02WgIwHFznbEh1wMpSf4PS1azoIxP7k_0IRFoM7hefetCXJj4QST_FeGNhh024dnKYB674gOfy25bZdi63B6WgI45ir7bFjUc8-ngrZFGsKqBmoZE79mdbmCiSjMD-uzxw9e-CQyrdqmt16Vrc6dYH4se8FcHowywenmsH0BsEqfBlHW80bB9GUBwMYyfxx3A65zVGBH1YDgZZ5bz5Y2rHFE4hNa_d8l-gJbMMAu-R3IHaJW63hm2-x5Yvg9363FMvzqYvPT4YhwOMSgmQKTMo1m44pZoNSTIjtGYILZeV-7-VCqZiKX44gFtiGLgoTj0D5KAMkdSYmq&p=10&fvj=1&vjs=3
"Data Scientist, Data Migration Engineer, Data engineer, etc.",Leadership Solutions Limited,Hong Kong,"ETL flow, Informatica ETL/Alteryx Qliksense), Cloud Senior/Junior Data Migration Software Engineer Data lake/ data migration projects,Testing Automation, SQL…",nan,https://hk.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0CSte6oGGtDxh-7fhYpl3JUF32xG07cYNaxIIfxptA_Wgi2_nEAFSrMbNj1WHu8bcy3ZYS1iDiiL1HICB0joqouIaUnJYuz2gC65WAYdCCyIO00sJDjMHs2rE_NoxJXbF0Hp0k3jDItNhtAj0rJ_z0yEW91SOHagESTV2fFqe_S4EyTGz0mn47IENcw0Nk_zJ2EkV7zIUmv40fvRviukrUxR244kngTtIT3lhSTWJ-TEFpLUvcSzjbWEp_m01j9jDi80jv-iBmiIZIEKW5bVK2ZUb0NqSwF0gNgDS-ZR3qt-HIehCPjC1c9Ievexw4PRRfnlACET_xuv8piyEVNKftNeAZukRard4IuTbe6-_SAS8lzlYLqdKdJqp8NEcQ3bxvg_yBowq8D1SgVmPekQtp7J5J4zrKo_JwTFjWCDJCjZ02mNd3F3Ir8c5yZVJLK2FnIDuklWHYrTvjyKtzjifkOvVK4Zaul4Tm1YNJ6gb350BUx7-licBjQCVu5BXXQSNFvRZV3qwJXIFBNoUKWf2PtaD7prMbTIFVcOGsuSjzVzaMhaTVSQuaVNJKAxws7OD3wQ2ise8kF2Po-oQr0FuOMVkl2KaB3k3grvY__C7AXrn5pbSHdZLSL1eKol1nc9hC-8DlXJpQ0mHyJeKCv-KA1TZYL1uLZ9ZA=&p=11&fvj=0&vjs=3
